EnsemblID	external_gene_id	chromosome_name	start_position	end_position	strand
ENSDARG00000085528	5S_rRNA	1	21779242	21779356	-1
ENSDARG00000087771	5S_rRNA	4	43521802	43521916	-1
ENSDARG00000083258	mirlet7a-1	11	28380072	28380160	-1
ENSDARG00000091152	U1	4	37784316	37784479	-1
ENSDARG00000086226	AL645743.1	16	32531133	32531206	-1
ENSDARG00000084702	U6	4	48692599	48692704	1
ENSDARG00000091154	U6	4	45800750	45800856	-1
ENSDARG00000080656	CU633767.1	11	3285220	3285300	-1
ENSDARG00000086275	U6	4	53138250	53138356	-1
ENSDARG00000085564	U6	4	46851588	46851694	1
ENSDARG00000085686	5S_rRNA	2	47303227	47303341	-1
ENSDARG00000083870	dre-mir-2187	17	19730907	19731010	-1
ENSDARG00000087774	Metazoa_SRP	11	12269798	12270092	-1
ENSDARG00000088191	U6	4	45774858	45774964	-1
ENSDARG00000080230	5S_rRNA	4	1056539	1056656	1
ENSDARG00000081992	U6	4	48150074	48150180	1
ENSDARG00000088394	CR381601.3	1	13399299	13399396	-1
ENSDARG00000090855	U6	4	51306446	51306552	1
ENSDARG00000086128	Metazoa_SRP	11	11573036	11573311	-1
ENSDARG00000084906	5S_rRNA	4	54380181	54380296	-1
ENSDARG00000088208	CR391947.1	1	29008944	29009027	1
ENSDARG00000084670	SNORA55	12	20484425	20484555	1
ENSDARG00000090397	mir430b-17	4	28009395	28009475	1
ENSDARG00000083885	ACA64	9	39213572	39213698	1
ENSDARG00000081107	5S_rRNA	Zv9_NA797	28289	28405	-1
ENSDARG00000091347	Metazoa_SRP	11	12546272	12546523	-1
ENSDARG00000088504	U1	4	56652473	56652636	1
ENSDARG00000087964	mir430b-14	4	28012898	28012978	1
ENSDARG00000089755	mir430c-17	4	28010901	28010982	1
ENSDARG00000080677	CR848045.1	16	18756327	18756463	-1
ENSDARG00000081779	mir203a	17	45975669	45975764	1
ENSDARG00000084589	5S_rRNA	5	69493098	69493215	1
ENSDARG00000089244	U5	5	44738753	44738868	-1
ENSDARG00000088338	U6	4	45778029	45778135	-1
ENSDARG00000082972	U6	4	48145466	48145572	1
ENSDARG00000084583	5S_rRNA	2	19950258	19950374	-1
ENSDARG00000082604	SNORD77	8	17130728	17130808	-1
ENSDARG00000085350	5S_rRNA	2	15689008	15689123	1
ENSDARG00000087991	U3	14	11813180	11813394	-1
ENSDARG00000091665	5S_rRNA	5	28738773	28738887	-1
ENSDARG00000086828	U6	4	45790709	45790815	-1
ENSDARG00000082008	SNORD14	10	30759904	30759999	1
ENSDARG00000086073	5S_rRNA	1	22525193	22525307	1
ENSDARG00000091453	U1	4	37793451	37793614	-1
ENSDARG00000082197	mir99-1	15	29144677	29144760	1
ENSDARG00000090032	5S_rRNA	Zv9_scaffold3510	17496	17596	-1
ENSDARG00000081157	CU280887.1	1	56765087	56765197	1
ENSDARG00000085215	5S_rRNA	5	72596969	72597083	-1
ENSDARG00000087617	U1	4	51294749	51294912	-1
ENSDARG00000090736	U6	4	42942010	42942116	-1
ENSDARG00000089912	U6	4	42947286	42947392	-1
ENSDARG00000087490	U6	4	45793351	45793457	-1
ENSDARG00000080349	mir456	17	22657078	22657162	1
