EnsemblID	external_gene_id	chromosome_name	end_position	start_position
ENSMUSG00000064363	mt-Nd4	MT	11544	10167
ENSMUSG00000065947	mt-Nd4l	MT	10173	9877
ENSMUSG00000064361	mt-Tr	MT	9875	9808
ENSMUSG00000064360	mt-Nd3	MT	9806	9459
ENSMUSG00000064359	mt-Tg	MT	9458	9391
ENSMUSG00000064358	mt-Co3	MT	9390	8607
ENSMUSG00000064357	mt-Atp6	MT	8607	7927
ENSMUSG00000064356	mt-Atp8	MT	7969	7766
ENSMUSG00000064355	mt-Tk	MT	7764	7700
ENSMUSG00000064354	mt-Co2	MT	7696	7013
ENSMUSG00000064353	mt-Td	MT	7011	6942
ENSMUSG00000064352	mt-Ts1	MT	6938	6870
ENSMUSG00000064351	mt-Co1	MT	6872	5328
ENSMUSG00000064350	mt-Ty	MT	5326	5260
ENSMUSG00000064349	mt-Tc	MT	5257	5192
ENSMUSG00000064348	mt-Tn	MT	5159	5089
ENSMUSG00000064347	mt-Ta	MT	5086	5018
ENSMUSG00000064346	mt-Tw	MT	5016	4950
ENSMUSG00000064345	mt-Nd2	MT	4951	3914
ENSMUSG00000064344	mt-Tm	MT	3913	3845
ENSMUSG00000064343	mt-Tq	MT	3842	3772
ENSMUSG00000064342	mt-Ti	MT	3774	3706
ENSMUSG00000064341	mt-Nd1	MT	3707	2751
ENSMUSG00000064340	mt-Tl1	MT	2750	2676
ENSMUSG00000064339	mt-Rnr2	MT	2675	1094
ENSMUSG00000064338	mt-Tv	MT	1093	1025
ENSMUSG00000064337	mt-Rnr1	MT	1024	70
ENSMUSG00000064336	mt-Tf	MT	68	1
ENSMUSG00000084565	Mir1901	18	11840438	11840361
ENSMUSG00000077923	AC141477.1	10	76333516	76333424
ENSMUSG00000093249	AC148990.1	7	15946490	15946248
ENSMUSG00000077821	AC100600.1	9	74870842	74870749
ENSMUSG00000092679	Mir5129	2	45023177	45023100
ENSMUSG00000065102	n-R5s50	14	110161945	110161835
ENSMUSG00000065924	SNORA71	16	71663918	71663788
ENSMUSG00000095752	AC113970.1	1	167349131	167349025
ENSMUSG00000065529	Mir22	11	75463810	75463716
ENSMUSG00000064943	U1	1	48462293	48462173
ENSMUSG00000096285	AC168073.41	7	59600854	59600776
ENSMUSG00000094042	AL844480.1	4	139922814	139922728
ENSMUSG00000087916	SNORA70	14	20200112	20199996
ENSMUSG00000089256	7SK	1	131102745	131102393
ENSMUSG00000076949	AC121540.1	3	123015368	123015259
ENSMUSG00000088986	AC113291.1	9	62242867	62242763
ENSMUSG00000089306	U6	7	109988131	109988078
ENSMUSG00000088778	snoU13	8	22107088	22106980
ENSMUSG00000095685	AC161167.1	18	31390103	31389994
ENSMUSG00000065036	SNORA70	6	131380406	131380273
ENSMUSG00000064665	SNORA4	X	151539805	151539700
ENSMUSG00000065297	SNORA42	8	65902191	65902057
ENSMUSG00000064792	SNORA32	6	52639355	52639234
ENSMUSG00000065232	U2	12	59040525	59040335
ENSMUSG00000077038	Mir669f	2	10467349	10467229
ENSMUSG00000088084	SNORA17	10	106056079	106055958
ENSMUSG00000077696	n-R5s172	5	53346372	53346259
ENSMUSG00000077996	Mir190b	3	90070099	90070020
ENSMUSG00000088243	U1	9	20173239	20173087
ENSMUSG00000088182	5S_rRNA	8	35747562	35747449
ENSMUSG00000088840	SNORA17	3	116466715	116466619
ENSMUSG00000088404	5S_rRNA	X	10510156	10510048
ENSMUSG00000077641	SNORA17	18	87925564	87925431
ENSMUSG00000087732	U6	16	47506425	47506319
ENSMUSG00000095530	SNORA19	19	60774461	60774330
ENSMUSG00000065640	Snord1c	11	116672581	116672506
ENSMUSG00000096634	SNORD116	7	59897254	59897161
ENSMUSG00000077152	SNORA17	16	8402957	8402814
ENSMUSG00000087785	SNORA25	2	128780499	128780376
ENSMUSG00000080490	AL845174.1	2	150716046	150715952
ENSMUSG00000094823	5S_rRNA	6	132565092	132564972
ENSMUSG00000092810	AC164408.1	3	134240025	134239942
ENSMUSG00000095036	AL772216.42	2	10499003	10498907
ENSMUSG00000089279	SNORA17	15	30004134	30004062
ENSMUSG00000065802	U6	10	109368193	109368088
ENSMUSG00000094807	AC166252.3	6	47773429	47773329
ENSMUSG00000080573	Mir467f	11	69635519	69635400
ENSMUSG00000064995	SNORA71	2	158358472	158358360
ENSMUSG00000093873	AC131029.1	14	73767968	73767862
ENSMUSG00000077892	AC124987.1	3	146399217	146399134
ENSMUSG00000096504	mmu-mir-465b-1	X	66835842	66835764
ENSMUSG00000065269	SNORA62	6	148642660	148642524
ENSMUSG00000093013	AL591209.1	11	97941740	97941671
ENSMUSG00000080681	AL627312.1	11	105597741	105597625
ENSMUSG00000087910	7SK	2	116963549	116963237
ENSMUSG00000088502	U6	11	24554058	24553986
ENSMUSG00000093312	AC155932.1	10	81217914	81217663
ENSMUSG00000077581	SNORA17	3	157211060	157210929
ENSMUSG00000094095	AC167971.1	7	59347759	59347681
ENSMUSG00000065667	U6	16	48943102	48942999
ENSMUSG00000084648	U6	14	47270964	47270859
ENSMUSG00000092653	AC159204.1	12	30558134	30557914
ENSMUSG00000089297	SNORA52	14	106517495	106517389
ENSMUSG00000092913	AL589878.1	17	12865240	12865125
ENSMUSG00000065543	Mir330	7	19181562	19181465
ENSMUSG00000077368	SNORA17	1	13774464	13774334
ENSMUSG00000088440	SNORA17	18	56193133	56192999
ENSMUSG00000077772	SNORD116	7	59923122	59923034
ENSMUSG00000065004	SNORA33	12	43743165	43743037
ENSMUSG00000065898	U6	X	128700653	128700546
ENSMUSG00000093064	AC124613.1	1	190483157	190482872
ENSMUSG00000088165	7SK	10	42310019	42309775
ENSMUSG00000095045	AC221015.15	7	59774283	59774190
ENSMUSG00000093126	AC161763.1	7	144914541	144914471
ENSMUSG00000092815	Mir3099	7	6803670	6803587
ENSMUSG00000088320	SNORA17	8	18274821	18274712
ENSMUSG00000094154	SNORA17	11	71233940	71233807
ENSMUSG00000089445	SNORA17	6	81806908	81806791
ENSMUSG00000064858	Snora43	2	26637974	26637848
ENSMUSG00000088318	U6	1	87251248	87251148
ENSMUSG00000092872	AL672094.1	X	73756076	73756007
ENSMUSG00000087855	Mir432	12	109595030	109594956
ENSMUSG00000089228	U6	10	80476455	80476352
ENSMUSG00000093690	AL714024.1	5	104048063	104048003
ENSMUSG00000089345	7SK	1	69921747	69921473
ENSMUSG00000088474	7SK	5	103602879	103602587
ENSMUSG00000077214	SNORA17	4	64444858	64444730
ENSMUSG00000092677	Mir5106	4	44221267	44221195
ENSMUSG00000065568	Mir344	7	61877864	61877770
ENSMUSG00000080500	AL772216.6	2	10465407	10465287
ENSMUSG00000076138	mmu-mir-703	9	78478635	78478528
ENSMUSG00000076141	Mir693	17	46231619	46231531
ENSMUSG00000092714	AC162941.1	9	18460293	18460210
ENSMUSG00000064392	SNORA9	8	84380581	84380449
ENSMUSG00000093128	AC134912.1	14	109951494	109951399
ENSMUSG00000089341	7SK	13	54429700	54429441
ENSMUSG00000094703	AC087891.1	10	70882210	70882104
ENSMUSG00000064581	SNORA30	14	96588956	96588827
ENSMUSG00000065580	Mir15b	3	69009853	69009756
ENSMUSG00000095796	AC139039.1	16	46219967	46219836
ENSMUSG00000092740	AC134382.1	10	75952342	75952232
ENSMUSG00000089241	7SK	14	31537258	31536957
ENSMUSG00000064696	SNORD20	1	86352087	86352008
ENSMUSG00000087748	5S_rRNA	5	65136420	65136302
ENSMUSG00000080526	Mir466j	10	60960844	60960723
ENSMUSG00000070141	Mir494	12	109715402	109715318
ENSMUSG00000096241	AC110090.1	1	107756708	107756602
ENSMUSG00000088748	U6	11	78824473	78824387
ENSMUSG00000080396	Snord111	8	110838616	110838528
ENSMUSG00000087967	SNORA70	4	62939474	62939341
ENSMUSG00000065792	U1	10	4104469	4104313
ENSMUSG00000084479	U6	4	49474410	49474307
ENSMUSG00000065586	Mir96	6	30169551	30169446
ENSMUSG00000077682	SNORA17	6	56600949	56600818
ENSMUSG00000084690	SNORA16	9	5111533	5111399
ENSMUSG00000064416	U1	X	151384643	151384494
ENSMUSG00000095333	SNORA17	5	87764801	87764679
ENSMUSG00000064737	U6	1	128886019	128885909
ENSMUSG00000092784	Mir3077	14	57798487	57798424
ENSMUSG00000096514	AC164094.1	6	123506842	123506711
ENSMUSG00000088543	U1	16	10994569	10994386
ENSMUSG00000089333	SNORA17	10	14233623	14233513
ENSMUSG00000088179	U6	4	135583848	135583748
ENSMUSG00000088611	7SK	18	40963552	40963279
ENSMUSG00000094308	AC171272.6	7	59477571	59477493
ENSMUSG00000096087	SNORA17	6	56583846	56583715
ENSMUSG00000077621	SNORA63	11	22846969	22846868
ENSMUSG00000095214	SNORA17	13	48572384	48572253
ENSMUSG00000084589	U4	19	26260493	26260369
ENSMUSG00000080452	Mir1306	16	18284317	18284239
ENSMUSG00000095393	U6	1	139787086	139786983
ENSMUSG00000092963	AL672070.1	9	107231708	107231621
ENSMUSG00000065173	U6	11	36722987	36722882
ENSMUSG00000077463	SNORA64	1	24548977	24548841
ENSMUSG00000077456	SNORA17	11	71848206	71848076
ENSMUSG00000093583	AL714025.1	13	23450724	23450638
ENSMUSG00000065657	U6	11	102549299	102549196
ENSMUSG00000088221	U6	10	90451004	90450910
ENSMUSG00000089214	Mir1931	10	93162903	93162785
ENSMUSG00000092662	AC087556.1	16	32323401	32323145
ENSMUSG00000089061	7SK	6	46038079	46037776
ENSMUSG00000089162	U6	5	82803861	82803765
ENSMUSG00000093149	AC163694.1	16	64918305	64918222
ENSMUSG00000065253	U6	2	20280625	20280519
ENSMUSG00000088416	7SK	8	120717754	120717500
ENSMUSG00000095165	AC169385.1	16	14807269	14807163
ENSMUSG00000077433	U6	17	94328863	94328755
ENSMUSG00000077735	SNORA17	5	147200253	147200124
ENSMUSG00000088702	U1	11	106186587	106186444
ENSMUSG00000084441	U6	14	110732138	110732036
ENSMUSG00000064992	U6	3	132082392	132082286
ENSMUSG00000093206	AL672290.1	X	41654316	41654226
ENSMUSG00000094580	AC109305.1	1	45807206	45807136
ENSMUSG00000089098	SNORA17	4	72906338	72906201
ENSMUSG00000077085	AC163215.1	3	92010865	92010756
ENSMUSG00000077304	SNORA17	11	5560735	5560606
ENSMUSG00000076228	AC159474.1	10	81504718	81504622
ENSMUSG00000088970	U7	1	136990270	136990211
ENSMUSG00000077652	U1	X	109009847	109009681
ENSMUSG00000088107	U7	8	68272635	68272574
ENSMUSG00000088623	U6atac	5	92302292	92302174
ENSMUSG00000096821	AC168073.50	7	59572785	59572707
ENSMUSG00000092796	AL589902.1	2	165908175	165908051
ENSMUSG00000084590	Mir1896	13	21445240	21445160
ENSMUSG00000089378	AC113092.1	6	120118485	120118396
ENSMUSG00000088207	5S_rRNA	12	4347760	4347647
ENSMUSG00000065489	Mir365-2	11	79726511	79726400
ENSMUSG00000094270	AC141881.8	8	123618654	123618536
ENSMUSG00000077756	Snord90	2	37400157	37400047
ENSMUSG00000092859	AC139317.1	15	99622210	99622124
ENSMUSG00000089471	U6	X	164268176	164268071
ENSMUSG00000080624	AL772216.8	2	10506855	10506755
ENSMUSG00000080363	AC136741.1	7	128826467	128826347
ENSMUSG00000096313	AC172750.16	7	59882082	59881989
ENSMUSG00000076147	Mir694	18	66219333	66219264
ENSMUSG00000077659	SNORA17	9	123162503	123162371
ENSMUSG00000088125	SNORA17	11	35214537	35214401
ENSMUSG00000089599	5S_rRNA	11	68053460	68053335
ENSMUSG00000092908	CT030729.1	17	65509492	65509368
ENSMUSG00000077416	SNORA17	15	75759989	75759859
ENSMUSG00000095697	AC165366.1	13	50544734	50544626
ENSMUSG00000077314	SNORA17	1	20915540	20915410
ENSMUSG00000065788	U6	3	130205571	130205465
ENSMUSG00000095072	5S_rRNA	X	102838255	102838155
ENSMUSG00000064905	Vault	8	65367443	65367301
ENSMUSG00000094403	mmu-mir-692-2	4	125504857	125504749
ENSMUSG00000088395	7SK	4	143340706	143340399
ENSMUSG00000077629	SNORA17	17	59225843	59225723
ENSMUSG00000076395	AC113593.1	15	82408543	82408458
ENSMUSG00000095735	AC117644.4	7	62121808	62121721
ENSMUSG00000092822	AL928551.1	4	13622763	13622643
ENSMUSG00000094522	AC168073.12	7	59612083	59612005
ENSMUSG00000096317	AC151601.1	7	17461432	17461323
ENSMUSG00000064410	SNORA36	4	46495285	46495155
ENSMUSG00000089237	SNORA17	3	153709026	153708911
ENSMUSG00000088456	7SK	14	21263859	21263624
ENSMUSG00000077398	SNORA17	12	104419400	104419273
ENSMUSG00000064745	U6	7	16624677	16624575
ENSMUSG00000093850	AC154308.1	16	53153442	53153372
ENSMUSG00000095792	AC124659.1	15	55262603	55262542
ENSMUSG00000095856	AL833773.1	4	93745997	93745888
ENSMUSG00000088029	U7	7	95520899	95520841
ENSMUSG00000080331	Mir1298	X	147065002	147064905
ENSMUSG00000077979	AL844871.1	2	57104745	57104656
ENSMUSG00000077280	SNORA17	10	129302224	129302091
ENSMUSG00000080383	mmu-mir-1194	X	56070784	56070664
ENSMUSG00000093856	U6	5	144014101	144013998
ENSMUSG00000095708	U7	9	53351377	53351312
ENSMUSG00000065563	Mir103-2	2	131288137	131288052
ENSMUSG00000089053	U7	17	14792004	14791941
ENSMUSG00000089453	7SK	7	79352745	79352488
ENSMUSG00000089058	U3	2	161445530	161445330
ENSMUSG00000065943	U6	X	162114341	162114238
ENSMUSG00000065291	U6	X	74534391	74534285
ENSMUSG00000088362	SNORA17	6	145366944	145366858
ENSMUSG00000094218	AC221015.7	7	59766704	59766611
ENSMUSG00000094960	AC221015.12	7	59711102	59711009
ENSMUSG00000077471	U1	1	65001462	65001307
ENSMUSG00000089048	7SK	10	25281852	25281600
ENSMUSG00000064380	SNORA73	9	120129553	120129351
ENSMUSG00000088595	5_8S_rRNA	6	94826923	94826781
ENSMUSG00000088490	U6	19	43857351	43857245
ENSMUSG00000070150	n-R5s152	7	20010202	20010084
ENSMUSG00000095323	AC104324.1	6	83090387	83090311
ENSMUSG00000088102	7SK	5	91982980	91982705
ENSMUSG00000088620	U6	1	31656738	31656632
ENSMUSG00000065893	n-R5s151	7	16471931	16471813
ENSMUSG00000095740	AC116739.1	17	46232831	46232725
ENSMUSG00000094976	U6	X	154979448	154979339
ENSMUSG00000094890	AC168073.18	7	59678602	59678509
ENSMUSG00000089437	U6	X	140679802	140679696
ENSMUSG00000089086	U7	7	33777654	33777590
ENSMUSG00000070214	U6	10	58349604	58349498
ENSMUSG00000089454	SNORA17	18	15874789	15874661
ENSMUSG00000077728	SNORA17	3	37995235	37995105
ENSMUSG00000070136	Mir496	12	109739197	109739119
ENSMUSG00000077442	SNORA17	11	77658707	77658576
ENSMUSG00000095027	AC162934.1	13	50262502	50262394
ENSMUSG00000088057	U6	7	81669835	81669728
ENSMUSG00000077834	Mir669d	2	10468463	10468343
ENSMUSG00000075918	n-R5s2	X	6107009	6106891
ENSMUSG00000088697	SNORA17	X	68563252	68563127
ENSMUSG00000088625	U6	4	148555804	148555697
ENSMUSG00000077674	SNORA17	X	82692370	82692239
ENSMUSG00000088046	SNORA17	14	94448351	94448221
ENSMUSG00000064746	U6	11	15412406	15412300
ENSMUSG00000096585	AC102463.2	1	96303255	96303146
ENSMUSG00000084683	7SK	X	140642261	140641960
ENSMUSG00000076337	BX255277.1	11	16645538	16645438
ENSMUSG00000094394	AC090495.1	1	165809742	165809636
ENSMUSG00000095782	mmu-mir-465c-1	X	66826035	66825955
ENSMUSG00000089461	SNORA17	10	110796300	110796173
ENSMUSG00000065387	n-R5s85	9	65836465	65836353
ENSMUSG00000094541	5S_rRNA	8	123601680	123601572
ENSMUSG00000080515	AC133514.1	5	7888793	7888685
ENSMUSG00000096451	AC134908.2	17	25694220	25694114
ENSMUSG00000092911	AC137107.1	5	105774222	105774150
ENSMUSG00000088180	U7	14	56852888	56852830
ENSMUSG00000088467	snoU13	10	21588476	21588377
ENSMUSG00000065313	U6	7	18549191	18549085
ENSMUSG00000094148	AC168073.6	7	59580269	59580191
ENSMUSG00000065083	n-R5s205	2	120640835	120640711
ENSMUSG00000065074	U6	X	21901838	21901732
ENSMUSG00000093964	AC122926.1	6	74341081	74340950
ENSMUSG00000065289	SNORD56	2	130277766	130277697
ENSMUSG00000089120	5S_rRNA	14	88127097	88126998
ENSMUSG00000088943	7SK	1	15879832	15879530
ENSMUSG00000077472	SNORA17	1	123389931	123389801
ENSMUSG00000088227	U6	18	55179919	55179840
ENSMUSG00000093236	AC157986.1	19	30261517	30261441
ENSMUSG00000096148	AC221015.32	7	59703520	59703427
ENSMUSG00000064409	n-R5s40	15	79692625	79692502
ENSMUSG00000095039	AC127300.3	8	126893739	126878841
ENSMUSG00000094110	AC121866.1	8	128227806	128173297
ENSMUSG00000096123	AC128663.3	8	128322648	128320947
ENSMUSG00000095566	AC093451.2	8	111571683	111555089
ENSMUSG00000095252	AC134615.1	8	116417262	116400552
ENSMUSG00000095848	AC133195.2	8	116565169	116562044
ENSMUSG00000096423	AL772324.1	4	16676029	16675923
ENSMUSG00000065773	U1	3	96460189	96460024
ENSMUSG00000064526	U6	11	86437415	86437310
ENSMUSG00000080648	AC131332.1	12	65547477	65547387
ENSMUSG00000087987	U6	4	127284833	127284731
ENSMUSG00000094901	AC108942.1	18	60174426	60174317
ENSMUSG00000084635	7SK	10	50866364	50866075
ENSMUSG00000095133	AL731554.1	5	103898985	103898879
ENSMUSG00000076048	Mir720	3	89116672	89116609
ENSMUSG00000093933	SNORA17	10	41216176	41216045
ENSMUSG00000093058	AC134453.1	15	62653004	62652935
ENSMUSG00000065392	SNORD26	19	8724325	8724251
ENSMUSG00000094369	AC117241.1	17	7374357	7374193
ENSMUSG00000088418	SNORA17	4	121509603	121509472
ENSMUSG00000088589	U6	4	138587729	138587624
ENSMUSG00000084630	n-R5s159	7	132058760	132058641
ENSMUSG00000084675	U4	19	14718480	14718358
ENSMUSG00000088626	SNORA28	9	108795388	108795243
ENSMUSG00000065944	U2	11	101658428	101658238
ENSMUSG00000077761	SNORA17	2	168882168	168882040
ENSMUSG00000064876	U6	X	104001479	104001373
ENSMUSG00000093039	Mir1912	X	147009527	147009441
ENSMUSG00000095989	AC134897.1	6	29988489	29988388
ENSMUSG00000065709	SNORA44	3	99113283	99113155
ENSMUSG00000092767	AC162038.1	6	94823805	94823733
ENSMUSG00000094655	AC120136.3	1	72226430	72226240
ENSMUSG00000084574	n-R5s198	2	74935514	74935415
ENSMUSG00000096303	AC160532.1	5	86916322	86916216
ENSMUSG00000089257	U6	18	81026890	81026773
ENSMUSG00000093432	AC102096.1	18	12104606	12104537
ENSMUSG00000092820	AC124472.1	7	110231252	110231008
ENSMUSG00000064859	U1	5	86079935	86079766
ENSMUSG00000088128	U6	15	76214205	76214101
ENSMUSG00000064412	U6	12	95619924	95619818
ENSMUSG00000065822	Snord15a	7	99482932	99482785
ENSMUSG00000077360	SNORA24	13	49714240	49714119
ENSMUSG00000076360	AC171202.1	16	56070666	56070563
ENSMUSG00000093217	AL671117.1	X	13653449	13653381
ENSMUSG00000075973	n-R5s64	12	85718595	85718477
ENSMUSG00000076315	Mir343	7	19386717	19386643
ENSMUSG00000087961	7SK	X	137815440	137815156
ENSMUSG00000088566	U6	7	128734303	128734202
ENSMUSG00000089593	U6	16	8337096	8336993
ENSMUSG00000065011	U6	11	85163183	85163077
ENSMUSG00000077207	U6	1	137215647	137215544
ENSMUSG00000077876	CT030170.1	12	17949548	17949458
ENSMUSG00000065191	U1	5	123361000	123360832
ENSMUSG00000089244	AC102477.1	5	13902874	13902770
ENSMUSG00000077991	Mir466n	2	10513834	10513741
ENSMUSG00000095216	AC132270.1	5	6370960	6370870
ENSMUSG00000094097	AC141881.5	8	123557608	123557490
ENSMUSG00000077575	SNORA3	7	109521409	109521280
ENSMUSG00000078042	AC153982.1	6	121325676	121325580
ENSMUSG00000092658	AC166781.1	8	119392104	119392034
ENSMUSG00000070175	U6	1	20444912	20444811
ENSMUSG00000088874	RNaseP_nuc	3	16115943	16115615
ENSMUSG00000065722	U6	3	58290357	58290251
ENSMUSG00000088493	SNORA40	18	37706069	37705979
ENSMUSG00000089472	5S_rRNA	2	21171213	21171083
ENSMUSG00000065471	Mir222	X	19146971	19146893
ENSMUSG00000087958	7SK	4	51541015	51540747
ENSMUSG00000094997	AC221015.14	7	59791937	59791844
ENSMUSG00000089534	SNORA17	1	17520111	17520001
ENSMUSG00000096017	AC221015.26	7	59756607	59756514
ENSMUSG00000077776	SNORA17	1	57422373	57422244
ENSMUSG00000077578	SNORA17	13	105223398	105223269
ENSMUSG00000065503	Mir351	X	53053353	53053255
ENSMUSG00000077272	SNORA17	8	96318618	96318487
ENSMUSG00000095097	SNORA19	19	24942367	24942236
ENSMUSG00000088324	5S_rRNA	9	102547877	102547766
ENSMUSG00000088448	5S_rRNA	12	97371113	97371034
ENSMUSG00000096306	AC168073.42	7	59542820	59542742
ENSMUSG00000093093	AC132327.1	3	89302729	89302482
ENSMUSG00000087989	U6	7	63586022	63585922
ENSMUSG00000094245	AC121091.1	1	58466621	58466515
ENSMUSG00000065226	SNORA8	9	15314981	15314845
ENSMUSG00000088817	SNORA17	17	82232272	82232144
ENSMUSG00000084431	n-R5s48	14	77530507	77530398
ENSMUSG00000077204	SNORA17	12	12013751	12013623
ENSMUSG00000065820	U2	11	101605040	101604850
ENSMUSG00000065549	Mir200b	4	156055750	156055681
ENSMUSG00000065385	n-R5s153	7	29657276	29657161
ENSMUSG00000096222	AL672051.1	X	61938997	61938891
ENSMUSG00000088853	SNORA17	17	63202854	63202738
ENSMUSG00000096455	SNORA17	11	71288558	71288425
ENSMUSG00000087950	Mir1948	18	12714895	12714811
ENSMUSG00000065382	U6	9	6706446	6706342
ENSMUSG00000095764	AC168073.32	7	59554059	59553981
ENSMUSG00000087980	U6	7	96920102	96919994
ENSMUSG00000093077	Mir5105	5	146261084	146261003
ENSMUSG00000088136	7SK	11	85297749	85297452
ENSMUSG00000076062	Mir92-1	14	115044506	115044427
ENSMUSG00000095037	AC074211.1	14	102329661	102329530
ENSMUSG00000077285	SNORA42	11	98999622	98999508
ENSMUSG00000088902	7SK	4	116915493	116915227
ENSMUSG00000084659	U4	9	105673551	105673465
ENSMUSG00000065368	U6	7	11967256	11967150
ENSMUSG00000077797	Snord19	14	31016281	31016206
ENSMUSG00000088054	Mir1968	8	13189098	13189031
ENSMUSG00000064606	U4	4	83527768	83527628
ENSMUSG00000084645	7SK	X	139654617	139654294
ENSMUSG00000084638	U6	9	114838276	114838173
ENSMUSG00000088580	5S_rRNA	8	127597823	127597706
ENSMUSG00000064616	U6	12	49009989	49009883
ENSMUSG00000080517	U6atac	11	29335059	29334934
